Generation,Average,Best,Samples
260,1245.45333333,6697.33333333,3
261,1967.99666667,5698.33333333,3
262,2321.39,6699.0,3
263,2014.71,6364.33333333,3
264,2325.71,5697.66666667,3
265,2366.35,7035.0,3
266,2082.85333333,6030.33333333,3
267,1508.00333333,5694.0,3
268,1565.82333333,5362.33333333,3
269,1890.04,7028.0,3
270,1703.47,5364.33333333,3
271,2004.34666667,6025.66666667,3
272,2245.61333333,6361.0,3
273,2587.78333333,7030.66666667,3
274,2333.39333333,7357.66666667,3
275,2314.89666667,6363.66666667,3
276,1983.09333333,6692.33333333,3
277,2023.87333333,6698.33333333,3
278,2294.24666667,6694.33333333,3
279,2418.59,6030.33333333,3
280,2061.98666667,6027.66666667,3
281,2848.73333333,8030.33333333,3
282,2206.9,7026.66666667,3
283,2697.33,7031.66666667,3
284,2441.08666667,7024.33333333,3
285,2202.30666667,7364.0,3
286,2269.71333333,6695.66666667,3
287,2173.15,5698.0,3
288,2704.22666667,7358.33333333,3
289,2326.11666667,6029.33333333,3
290,2905.01333333,6357.66666667,3
291,2390.59,7358.0,3
292,3568.03333333,8025.0,3
293,2730.12,7361.66666667,3
294,3021.28666667,8022.0,3
295,3216.30333333,7702.33333333,3
296,2698.7,6698.66666667,3
297,2231.60666667,6357.33333333,3
298,2973.31666667,6690.0,3
299,2596.62333333,6361.66666667,3
300,2101.05333333,7692.0,3
301,2390.54,6369.33333333,3
302,2458.22333333,7027.33333333,3
303,2500.69,7359.33333333,3
304,3300.16666667,9031.33333333,3
305,2802.49666667,7696.0,3
306,2559.18333333,6360.33333333,3
307,2535.98666667,7695.0,3
308,2850.74666667,7364.33333333,3
309,2906.82666667,7029.0,3
310,2963.82333333,7691.0,3
311,2097.65,7692.66666667,3
312,2377.24,7359.0,3
313,2191.31,6365.0,3
314,1815.52666667,6698.33333333,3
315,2458.81666667,7362.33333333,3
316,2368.94,7365.33333333,3
317,2626.01,7357.0,3
318,2180.12333333,6696.66666667,3
319,2736.30666667,7696.0,3
320,3426.51,7027.33333333,3
321,3210.36,7366.33333333,3
322,2688.42666667,7026.33333333,3
323,3223.62333333,7360.66666667,3
324,2995.54,7693.33333333,3
325,2192.16666667,7028.33333333,3
326,2642.45666667,8029.0,3
327,2302.29666667,7025.0,3
328,3066.38,7697.66666667,3
329,3126.62,8362.0,3
330,2707.85666667,7024.33333333,3
331,2959.38666667,7030.33333333,3
332,3476.78333333,8362.33333333,3
333,3350.75,8362.66666667,3
334,3500.34,9030.66666667,3
335,3153.31,8026.0,3
336,2666.89666667,7363.0,3
337,2861.59,7363.0,3
338,2988.39333333,6695.33333333,3
339,3516.94666667,8692.66666667,3
340,3015.12666667,7693.33333333,3
341,3347.17333333,8362.33333333,3
342,3239.31,7029.33333333,3
343,3161.38,7694.33333333,3
344,2729.33333333,7699.0,3
345,2877.88666667,7032.33333333,3
346,3312.66666667,8368.0,3
347,2775.63666667,7028.33333333,3
348,3030.98666667,8031.33333333,3
349,2901.84666667,7363.33333333,3
350,3402.01333333,7026.66666667,3
351,2434.91666667,8026.66666667,3
352,2648.98666667,8024.66666667,3
353,2947.40333333,7026.66666667,3
354,2914.07333333,7693.0,3
355,2125.43333333,6036.66666667,3
356,2070.26,7028.66666667,3
357,2840.56,7021.33333333,3
358,3121.95,7362.0,3
359,3008.63666667,8024.33333333,3
360,2261.69,6364.33333333,3
361,3012.86,7032.66666667,3
362,2222.35333333,7028.33333333,3
363,3005.45666667,7690.0,3
364,2468.96333333,7359.0,3
365,2867.74,8034.33333333,3
366,2835.78333333,6697.0,3
367,2957.22333333,7364.33333333,3
368,3099.81,8036.33333333,3
369,1948.74666667,7358.66666667,3
370,3096.03666667,7368.0,3
371,2968.37,7365.33333333,3
372,2679.44333333,8026.66666667,3
373,2612.70666667,7692.33333333,3
374,2995.79,8362.0,3
375,2586.78333333,7361.66666667,3
376,2909.04333333,8027.33333333,3
377,2979.96,7033.0,3
378,3283.33,8029.33333333,3
379,3009.49666667,7360.0,3
380,3035.94333333,7358.66666667,3
381,2950.3,6358.66666667,3
382,2927.03333333,7697.0,3
383,2838.12,7362.33333333,3
384,2740.08666667,8037.0,3
385,2863.86,8031.0,3
386,3038.86,7023.33333333,3
387,3227.49333333,8357.66666667,3
388,3068.41333333,8691.33333333,3
389,3123.49,7694.33333333,3
390,2985.61,7697.33333333,3
391,2523.91,6699.66666667,3
392,2938.39666667,7029.66666667,3
393,2783.86,8029.33333333,3
394,2666.29,7363.66666667,3
395,3419.15,8033.0,3
396,2952.15333333,7033.66666667,3
397,3042.98,8036.66666667,3
398,3248.02,8361.33333333,3
399,2919.96666667,8032.0,3
400,3094.83,7363.33333333,3
401,3247.89666667,8025.33333333,3
402,3298.10666667,7694.0,3
403,3753.53666667,8365.0,3
404,3048.14666667,8029.0,3
405,3878.43333333,9362.0,3
406,3822.96666667,9028.33333333,3
407,3123.51333333,8363.33333333,3
408,2683.83,8029.0,3
409,2564.74,7023.5,2
410,3738.13,9022.0,2
411,3040.415,7526.5,2
412,2946.985,8529.5,2
413,3469.93,8025.0,2
414,3057.39,9528.0,2
415,2840.97,8029.5,2
416,3263.29,7528.5,2
417,3349.485,7526.5,2
418,3297.64,7528.0,2
419,4254.025,8029.5,2
420,3430.18,7525.5,2
421,2874.795,7524.5,2
422,3466.13,8527.0,2
423,2389.19,5007.0,1
424,2243.45,6016.0,1
425,1210.3,5015.0,1
426,1359.09,6009.0,1
427,2092.23,5012.0,1
428,1768.48,7009.0,1
429,2412.29,7010.0,1
430,1341.65,4013.0,1
431,1423.44,5019.0,1
432,502.58,3017.0,1
433,2020.91,5008.0,1
434,1961.03,5014.0,1
435,1941.11,6014.0,1
436,1958.91,5013.0,1
437,1644.31,5023.0,1
438,2994.1,7018.0,1
439,1982.81,5015.0,1
440,2221.4,5015.0,1
441,1711.08,4016.0,1
442,1172.21,5009.0,1
443,1981.49,5011.0,1
444,1602.78,4012.0,1
445,990.7,3016.0,1
446,2330.27,7019.0,1
447,1822.83,6010.0,1
448,1441.27,4015.0,1
449,1424.2,5016.0,1
450,1649.75,7012.0,1
451,2574.44,6013.0,1
452,899.69,4010.0,1
453,809.94,5012.0,1
454,3492.25,5014.0,1
455,1642.35,4015.0,1
456,2202.32,6014.0,1
457,3423.48,7020.0,1
458,2019.76,4010.0,1
459,1361.86,4016.0,1
460,910.15,5020.0,1
461,1339.44,4017.0,1
462,1824.14,5019.0,1
463,3171.17,9011.0,1
464,1344.69,5010.0,1
465,1691.99,7017.0,1
466,2208.18,5006.0,1
467,891.72,3013.0,1
468,1323.42,5012.0,1
469,2171.6,6014.0,1
470,4782.73,8011.0,1
471,4884.22,8018.0,1
472,3111.43,8009.0,1
473,1625.13,7011.0,1
474,2673.71,7012.0,1
475,2081.16,7013.0,1
476,1657.64,6013.0,1
477,1953.68,6013.0,1
478,2061.15,6018.0,1
479,2333.79,6019.0,1
480,2069.86,6010.0,1
481,2320.93,5013.0,1
482,3599.51,7006.0,1
483,1912.32,5019.0,1
484,2251.44,6012.0,1
485,1463.7,6015.0,1
486,2236.59,5013.0,1
487,2492.45,6017.0,1
488,1731.93,6020.0,1
489,2282.6,5015.0,1
490,1894.05,5013.0,1
491,2041.21,5013.0,1
492,1279.64,4013.0,1
493,1911.56,8014.0,1
494,1630.61,4013.0,1
495,1391.71,4017.0,1
496,1541.32,4020.0,1
497,2281.01,7016.0,1
498,2040.9,6017.0,1
499,1772.49,6018.0,1
