Generation,Baseline-Avg,Baseline-Best,Updates,Samples,DynamicSocial-Avg,DynamicSocial-Best
323,12776.728,20718,0,10,13324.843,20114.6
324,12733.23,20916.8,0,10,13688.918,20714.5
325,12494.649,20816.6,0,10,12280.488,20216.3
326,12408.979,20517.1,0,10,12737.957,19914.4
327,12608.009,20318.3,0,10,12721.211,19615.6
328,12616.287,20714,0,10,11635.319,18915.4
329,12810.222,20018,0,10,12239.327,19715.3
330,12670.941,21117.9,0,10,13091.034,19716.5
331,13040.872,20919.4,0,10,13142.556,21914.2
332,12719.498,19814.6,0,10,13532.988,20617.1
333,12619.83,20217.4,0,10,12198.94,20515.1
334,12378.821,19716.8,0,10,12738.563,21516
335,12525.014,19820.4,0,10,12903.84,21116.2
336,12608.627,19517.6,0,10,12584.606,20715.9
337,12572.969,21316.8,0,10,12685.341,20315.4
338,12683.783,19816.5,0,10,12670.251,20416
339,12382.187,20316.4,0,10,13137.797,21115.3
340,12650.578,20419.2,0,10,11981.725,20417
341,12438.468,20315.9,0,10,11467.42,20418.6
342,12750.735,21617.3,0,10,13315.075,21114
343,12790.067,20618,0,10,13970.175,22415.8
344,12162.284,20019.1,0,10,13102.751,21214
345,12998.9,21718.6,0,10,11715.394,20715
346,12730.436,20617.2,0,10,11502.198,19514.9
347,12527.508,20416.9,0,10,12885.139,21615.3
348,12524.841,20816.9,0,10,13744.366,20516.4
349,13040.164,20316.3,0,10,13740.939,21115.4
350,11952.183,19917.8,0,10,13973.795,21516.6
351,12490.262,21119.1,0,10,12913.56,19815.5
352,12609.166,20316.9,0,10,13388.081,20214.6
353,12817.314,21615.8,0,10,12673.525,20615.7
354,13081.409,20917.1,0,10,12795.118,20614.6
355,12388.689,20916.6,0,10,13169.245,21516.3
356,13076.448,21417.7,0,10,12492.988,20118.1
357,12543.518,19717.9,0,10,12228.858,19515.2
358,12694.042,21017,0,10,11968.781,20514.6
359,13330.486,21015.7,0,10,12611.956,20213.5
360,13583.352,20916.5,0,10,11967.501,19314.3
361,12641.588,20519,0,10,11335.456,19513.8
362,13328.959,21717,0,10,11469.475,19311.9
363,12302.492,20320.2,0,10,13173.174,21316.6
364,12944.044,20619.5,0,10,11920.953,20415.8
365,12717.579,21117.1,0,10,12077.995,20714.5
366,13027.378,21018.2,0,10,11793.379,20215.8
367,12601.659,21018.6,0,10,11513.313,19915.6
368,12748.203,20516.7,0,10,12294.02,20415
369,12687.509,20317.6,0,10,12610.105,19715.7
370,13310.821,21719.3,0,10,12234.005,20616.3
371,12806.617,20015.6,0,10,11827.874,18414.8
372,12877.416,20719.2,0,10,11945.5,19512.3
373,12837.967,21216.2,0,10,12568.835,20413
374,12820.296,20318.8,0,10,12762.021,20215.3
375,12668.188,20817.7,0,10,12129.408,19415.3
376,12473.953,19917.4,0,10,12282.566,20413.7
377,12904.909,20917.3,0,10,12671.597,20313.1
378,13195.792,21016.7,0,10,11911.881,21016.1
379,12594.947,20118.5,0,10,11901.465,19614.6
380,13004.268,21817.8,0,10,12493.031,19716.5
381,13000.855,21119.5,0,10,12478.356,20015.5
382,13244.545,21015.5,0,10,13088.946,20913.5
383,12877.091,21517.5,0,10,12390.171,20114.3
384,12831.573,20520.8,0,10,12180.766,20614.6
385,12454.442,20719.2,0,10,11465.003,18912.6
386,12654.55,19818,0,10,12781.245,20313.9
387,12678.624,20619.3,0,10,12437.463,20814.2
388,12497.687,21215.5,0,10,12757.08,19915.2
389,12360.02,19918.7,0,10,11970.199,19912.4
390,12784.558,21417.4,0,10,12160.994,20013.1
391,12812.965,20517.8,0,10,10656.322,18515
392,12709.739,20517.2,0,10,11814.105,19513.4
