Generation,Average,Best,Samples
194,483.32,1608.0,25
195,527.8,1652.0,25
196,528.72,1468.0,25
197,493.04,1542.0,25
198,463.98,1522.0,25
199,498.24,1464.0,25
200,471.3,1506.0,25
201,396.46,1384.0,25
202,475.5625,1579.16666667,24
203,484.583333333,1612.5,24
204,496.125,1502.08333333,24
205,537.6875,1602.08333333,24
206,446.333333333,1495.83333333,24
207,543.208333333,1629.16666667,24
208,501.541666667,1510.41666667,24
209,471.416666667,1531.25,24
210,458.083333333,1470.83333333,24
211,456.145833333,1485.41666667,24
212,502.041666667,1568.75,24
213,446.666666667,1452.08333333,24
214,489.0,1506.25,24
215,452.375,1470.83333333,24
216,417.458333333,1527.08333333,24
217,412.729166667,1512.5,24
218,411.891304348,1452.17391304,23
219,476.0,1693.47826087,23
220,496.369565217,1669.56521739,23
221,547.586956522,1554.34782609,23
222,500.434782609,1602.17391304,23
223,461.113636364,1611.36363636,22
224,489.181818182,1554.54545455,22
225,494.704545455,1518.18181818,22
226,508.761904762,1585.71428571,21
227,504.095238095,1611.9047619,21
228,507.175,1595.0,20
229,459.85,1500.0,20
230,459.842105263,1544.73684211,19
231,562.710526316,1678.94736842,19
232,496.315789474,1605.26315789,19
233,522.236842105,1657.89473684,19
234,487.263157895,1515.78947368,19
235,525.0,1684.21052632,19
236,522.315789474,1657.89473684,19
237,487.5,1628.94736842,19
238,476.052631579,1563.15789474,19
239,450.763157895,1536.84210526,19
240,497.578947368,1571.05263158,19
241,486.736842105,1521.05263158,19
242,443.305555556,1688.88888889,18
243,519.222222222,1625.0,18
244,474.916666667,1552.77777778,18
245,519.916666667,1566.66666667,18
246,489.944444444,1480.55555556,18
247,544.555555556,1577.77777778,18
248,455.823529412,1550.0,17
249,446.352941176,1505.88235294,17
250,470.588235294,1473.52941176,17
251,455.705882353,1523.52941176,17
252,477.28125,1518.75,16
253,427.0625,1528.125,16
254,428.6875,1478.125,16
255,459.875,1521.875,16
256,505.40625,1525.0,16
257,518.65625,1590.625,16
258,464.8,1760.0,15
259,454.166666667,1583.33333333,15
260,391.9,1416.66666667,15
261,410.666666667,1496.66666667,15
262,392.1,1416.66666667,15
263,378.333333333,1566.66666667,15
264,432.333333333,1396.66666667,15
265,377.1,1336.66666667,15
